Date,Open,High,Low,Close,Adj Close,Volume
2022-05-23,58.099998,59.590000,55.599998,55.810001,55.810001,110904800
2022-05-24,58.880001,62.230000,58.459999,59.340000,59.340000,138480300
2022-05-25,60.320000,60.459999,55.549999,56.900002,56.900002,109383100
2022-05-26,57.330002,57.520000,51.220001,52.160000,52.160000,99084900
2022-05-27,50.470001,50.520000,46.970001,47.009998,47.009998,97902900
2022-05-31,47.020000,49.209999,46.020000,47.310001,47.310001,122783200
2022-06-01,46.389999,49.500000,45.389999,48.500000,48.500000,125293600
2022-06-02,49.009998,49.700001,44.400002,44.500000,44.500000,110786800
2022-06-03,46.750000,48.500000,46.130001,47.959999,47.959999,124860200
2022-06-06,45.810001,48.220001,45.049999,47.450001,47.450001,99605400
2022-06-07,49.060001,49.570000,45.869999,46.250000,46.250000,96093900
2022-06-08,46.610001,47.619999,45.380001,47.200001,47.200001,76082800
2022-06-09,48.040001,51.110001,46.599998,51.029999,51.029999,111875400
2022-06-10,53.970001,56.680000,53.360001,56.520000,56.520000,138826600
2022-06-13,61.810001,64.839996,60.259998,64.209999,64.209999,155730000
2022-06-14,62.669998,65.760002,62.029999,63.830002,63.830002,120578700
2022-06-15,61.520000,63.480000,56.380001,59.169998,59.169998,142022600
2022-06-16,63.750000,67.690002,63.430000,66.089996,66.089996,130106000
2022-06-17,65.779999,67.040001,62.090000,63.959999,63.959999,122881600
2022-06-21,60.759998,60.830002,57.500000,59.180000,59.180000,81902800
2022-06-22,60.790001,61.139999,56.560001,59.389999,59.389999,101489000
2022-06-23,57.799999,59.639999,56.220001,56.849998,56.849998,100782900
2022-06-24,55.070000,55.189999,51.000000,51.009998,51.009998,86700900
2022-06-27,50.180000,52.639999,49.910000,52.000000,52.000000,84310800
2022-06-28,51.779999,56.910000,50.340000,56.770000,56.770000,117353400
2022-06-29,56.919998,58.430000,55.709999,56.650002,56.650002,111875200
2022-06-30,58.480000,61.470001,56.619999,58.840000,58.840000,140931900
2022-07-01,59.619999,60.840000,57.369999,57.619999,57.619999,105186100
2022-07-05,59.980000,60.939999,54.619999,54.660000,54.660000,112291900
2022-07-06,54.459999,55.450001,52.400002,53.650002,53.650002,91858400
2022-07-07,53.139999,53.139999,49.810001,50.279999,50.279999,79036400
2022-07-08,51.709999,52.189999,49.310001,50.040001,50.040001,101786400
2022-07-11,51.310001,53.689999,51.160000,53.240002,53.240002,88960400
2022-07-12,52.560001,55.680000,51.450001,54.779999,54.779999,103216600
2022-07-13,58.049999,58.360001,53.730000,55.119999,55.119999,137095000
2022-07-14,56.700001,58.509998,54.040001,54.529999,54.529999,114668500
2022-07-15,52.759998,53.759998,51.529999,51.639999,51.639999,99413200
2022-07-18,50.080002,53.509998,49.320000,52.889999,52.889999,110211500
2022-07-19,50.860001,51.770000,47.860001,48.150002,48.150002,101230700
2022-07-20,47.820000,48.200001,45.150002,45.759998,45.759998,119160600
2022-07-21,45.549999,46.770000,43.779999,43.799999,43.799999,119480400
2022-07-22,44.200001,46.900002,43.290001,46.080002,46.080002,121407500
2022-07-25,46.099998,47.840000,45.869999,46.830002,46.830002,94542100
2022-07-26,47.720001,50.049999,47.610001,49.619999,49.619999,91591000
2022-07-27,47.290001,47.599998,42.470001,43.470001,43.470001,129089900
2022-07-28,43.480000,45.099998,41.869999,42.130001,42.130001,112565100
2022-07-29,41.470001,42.070000,39.450001,39.830002,39.830002,118319300
2022-08-01,40.520000,40.939999,38.560001,39.889999,39.889999,125391800
2022-08-02,40.810001,41.209999,38.660000,40.279999,40.279999,143998200
2022-08-03,39.599998,39.639999,36.660000,37.060001,37.060001,124328800
2022-08-04,36.990002,37.740002,36.380001,36.500000,36.500000,118869400
2022-08-05,38.270000,38.529999,36.689999,37.380001,37.380001,136673400
2022-08-08,37.049999,38.279999,35.759998,37.750000,37.750000,120920100
2022-08-09,38.459999,39.639999,38.349998,39.020000,39.020000,110898900
2022-08-10,36.290001,37.220001,35.680000,35.830002,35.830002,108960700
2022-08-11,35.020000,36.660000,34.340000,36.340000,36.340000,123480100
2022-08-12,35.709999,36.150002,34.230000,34.290001,34.290001,90520200
2022-08-15,34.599998,34.619999,33.299999,33.450001,33.450001,88926600
2022-08-16,33.770000,34.650002,33.049999,33.689999,33.689999,108929700
2022-08-17,34.680000,35.509998,33.959999,34.880001,34.880001,127273300
